بيانات المنتج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
النوع ,أسم المنتج,تصنيف المنتج,صورة المنتج,وصف صورة المنتج,نوع المنتج,سعر المنتج,الوصف,هل يتطلب شحن؟,رمز المنتج sku,سعر التكلفة,السعر المخفض,تاريخ بداية التخفيض,تاريخ نهاية التخفيض,اقصي كمية لكل عميل,إخفاء خيار تحديد الكمية,اضافة صورة عند الطلب,الوزن,وحدة الوزن,الماركة,العنوان الترويجي,تثبيت المنتج,الباركود,السعرات الحرارية,MPN,GTIN,خاضع للضريبة ؟,سبب عدم الخضوع للضريبة,[1] الاسم,[1] النوع,[1] القيمة,[1] الصورة / اللون,[2] الاسم,[2] النوع,[2] القيمة,[2] الصورة / اللون,[3] الاسم,[3] النوع,[3] القيمة,[3] الصورة / اللون
منتج,عطر كوكتيل ماراكويا اكستريت دي بارفيوم 50 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a97f5f1d-1813-4b3d-88b5-0e6449b3ad9c-500x500-hQk4gBHvKaTkkYSlFbVDma9sqCKWaTtZmpmWnVo0.png",عطر كوكتيل ماراكويا اكستريت دي بارفيوم 50 مل,منتج جاهز,690,<p>عطر كوكتيل ماراكويا اكستريت دي بارفيوم 50 مل</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,هيستوار دي بارفيومز 7753 او دي بارفان 120 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bbdf855c-fcdc-4b42-baf8-37a1f0748702-500x500-3bCkhIUtzsYLJ6CYlEYLjAFgsdFSIy4wcGZJcPCd.png",هيستوار دي بارفيومز 7753 او دي بارفان 120 مل,منتج جاهز,667,<p>هيستوار دي بارفيومز 7753 او دي بارفان 120 مل</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,تاريخ العطور 1876- 120مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2139ac52-965f-44ab-996e-08ee1af76dd1-500x500-aMJtUWPwUuEeca5edfVRAshzB2io9ewCl1AckoLB.png",تاريخ العطور 1876- 120مل,منتج جاهز,655,<p>تاريخ العطور 1876- 120مل</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,عطر روز ريغليس افينيسانس 50 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e9b403cc-28dc-4a3d-95de-6fc5b3927263-500x500-uJ6B5Dj8n3566UdqrC5xwR9VtDzjhxJOvVinuJ8p.png",عطر روز ريغليس افينيسانس 50 مل,منتج جاهز,573,<p>عطر روز ريغليس افينيسانس 50 مل</p>,نعم,,,,,,,,,0.5,kg,افينيسانس,,,,,,,,,,,,,,,,,,,,
منتج,عطر هستريوس ذز از نوت بلو بوتل 1/7 60مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/809149d8-7483-4f11-8772-a67a61d0ef25-500x500-pAgGiaY35Vln3Jabz0djQx7vzzuzZgY2qKSxKLYl.png",عطر هستريوس ذز از نوت بلو بوتل 1/7 60مل,منتج جاهز,552,<p>عطر هستريوس ذز از نوت بلو بوتل 1/7 60مل</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,عطر مون سانتال 50ملAstrophil & Stella Mon Santal Extrait de Parfum,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2ac87726-e942-415a-8508-ae14c701eea8-500x500-nZg9WH3YiSDK8fkDMifx3Gj5NQ13adqr4PQIBm7m.png",عطر مون سانتال 50ملAstrophil & Stella Mon Santal Extrait de Parfum,منتج جاهز,402,<p>عطر مون سانتال 50ملAstrophil & Stella Mon Santal Extrait de Parfum</p>,نعم,,,,,,,,,0.5,kg,ستيلا ماكارتني,,,,,,,,,,,,,,,,,,,,
منتج,عطر ماجيك من ستيفانو 100مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a13db61d-e420-4bb8-95f6-fa406d89b7f2-500x500-Ua2bS3M0pCrn04ilzVsip67cltPDsnv4kS83Ties.jpg",عطر ماجيك من ستيفانو 100مل,منتج جاهز,159,<p>عطر ماجيك من ستيفانو 100مل</p>,نعم,,,,,,,,,0.5,kg,ستيفانو,,,,,,,,,,,,,,,,,,,,
منتج,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bb6eefef-4466-4205-b4b4-7bd191827dfb-500x500-k8VKXmw2WrTIvsf6Bs8ChuoA3kHY2utbRIekdxV7.png",جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,منتج جاهز,95,<p>جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة",العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/41b9f3fb-7c65-419f-9adb-8e01f3d6eac4-500x500-JwAMn1snU0HTmMtgBBhSDPhmwoXnNMj04GY1PTgj.png","بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة",منتج جاهز,80,"<p>بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة</p>",نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,كريم أساس اير مات من بورجوا - 03 لايت بيج,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31461696-43c3-462b-bf2d-58193d955e42-500x500-O4QrWQgHVRnHbWUN6ru7BvORrmMjdvdxlzoQXgVz.png",كريم أساس اير مات من بورجوا - 03 لايت بيج,منتج جاهز,55,<p>كريم أساس اير مات من بورجوا - 03 لايت بيج</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
